date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
22/1/2016;9;5;95;2;55;4;180;398310;0;0.5;2094;1;0.157716352;0;0;4661;4661;4;4;104;0.5;159;1484;10.1;29;129;947;21291;13277;"java=9129;xml=4148";3673;11.6;1331;1850;15.7;"0=37;5=21;10=30;20=9;30=17;60=3;90=1";1.9;"1=526;2=269;4=76;6=32;8=8;10=0;12=1";6;0;32;0;0;121;34;193;0;193;0
29/1/2016;10;5;100;2;55;4;174;403800;0;0.5;2058;1;0.152897474;0;0;4744;4744;4;4;104;0.5;163;1493;10;29;132;976;21593;13460;"java=9302;xml=4158";3739;11.6;1362;1889;15.6;"0=39;5=21;10=30;20=9;30=19;60=2;90=1";1.9;"1=544;2=271;4=82;6=29;8=9;10=0;12=1";5;0;35;0;0;112;36;188;0;188;0
5/2/2016;10;5;100;2;55;4;174;404250;0;0.5;2058;1;0.152727273;0;0;4742;4742;4;4;104;0.5;163;1492;10;29;132;976;21607;13475;"java=9300;xml=4175";3737;11.6;1362;1889;15.6;"0=39;5=21;10=30;20=9;30=19;60=2;90=1";1.9;"1=544;2=271;4=82;6=29;8=9;10=0;12=1";5;0;35;0;0;112;36;188;0;188;0
12/2/2016;10;5;100;2;55;4;174;404250;0;0.5;2058;1;0.152727273;0;0;4742;4742;4;4;104;0.5;163;1492;10;29;132;976;21607;13475;"java=9300;xml=4175";3737;11.6;1362;1889;15.6;"0=39;5=21;10=30;20=9;30=19;60=2;90=1";1.9;"1=544;2=271;4=82;6=29;8=9;10=0;12=1";5;0;35;0;0;112;36;188;0;188;0
19/2/2016;10;5;100;2;55;4;166;400830;0;0.5;1971;1;0.147518898;0;0;4652;4652;4;4;104;0.5;163;1498;10.1;29;132;966;21498;13361;"java=9141;xml=4220";3655;11.4;1321;1855;15.3;"0=39;5=22;10=30;20=9;30=18;60=2;90=1";1.9;"1=548;2=260;4=77;6=28;8=11;10=0;12=1";5;0;35;0;2;105;33;180;0;180;0
26/2/2016;10;5;100;2;55;4;165;402390;0;0.5;1969;1;0.146797883;0;0;4663;4663;4;4;104;0.5;163;1499;10.1;29;132;967;21552;13413;"java=9160;xml=4253";3662;11.4;1329;1857;15.3;"0=39;5=22;10=30;20=9;30=18;60=2;90=1";1.9;"1=548;2=260;4=79;6=27;8=11;10=0;12=1";5;0;35;0;2;105;32;179;0;179;0
4/3/2016;10;5;100;2;55;4;165;404910;0;0.5;1969;1;0.145884271;0;0;4691;4691;4;4;104;0.5;165;1509;10.1;29;133;977;21685;13497;"java=9229;xml=4268";3680;11.3;1333;1868;15.3;"0=40;5=22;10=30;20=8;30=18;60=3;90=1";1.8;"1=551;2=268;4=80;6=26;8=10;10=0;12=1";5;0;35;0;2;105;32;179;0;179;0
11/3/2016;10;5;100;2;45;3;165;407700;0;0.5;1969;1;0.144885946;0;0;4730;4730;4;4;104;0.5;166;1514;10;29;134;982;21824;13590;"java=9315;xml=4275";3713;11.3;1346;1882;15.3;"0=40;5=22;10=31;20=8;30=18;60=3;90=1";1.9;"1=552;2=271;4=81;6=26;8=10;10=0;12=1";5;0;35;0;2;105;31;178;0;178;0
18/3/2016;10;5;100;2;45;3;165;408390;0;0.5;1969;1;0.144641152;0;0;4730;4730;4;4;104;0.5;166;1514;10;29;134;982;21847;13613;"java=9315;xml=4298";3713;11.3;1346;1882;15.3;"0=40;5=22;10=31;20=8;30=18;60=3;90=1";1.9;"1=552;2=271;4=81;6=26;8=10;10=0;12=1";5;0;35;0;2;105;31;178;0;178;0
25/3/2016;10;5;100;2;45;3;166;415200;0;0.5;1974;1;0.142630058;0;0;4812;4812;4;4;104;0.5;170;1542;10;30;136;1008;22208;13840;"java=9493;xml=4347";3758;11.2;1357;1912;15.3;"0=41;5=22;10=31;20=9;30=18;60=3;90=1";1.8;"1=576;2=272;4=82;6=26;8=10;10=0;12=1";5;0;35;0;2;106;31;179;0;179;0
1/4/2016;10;5;100;2;45;3;164;414750;0;0.5;1949;1;0.140976492;0;0;4800;4800;4;4;104;0.5;170;1542;10;30;136;1010;22193;13825;"java=9478;xml=4347";3752;11.3;1356;1914;15.3;"0=42;5=21;10=31;20=9;30=18;60=3;90=1";1.8;"1=577;2=272;4=84;6=25;8=10;10=0;12=1";5;0;35;0;2;104;31;177;0;177;0
8/4/2016;11;5;105;2;45;3;163;417540;0;0.5;1944;1;0.139675241;0;0;4811;4811;4;4;104;0.5;171;1543;10;30;136;1011;22291;13918;"java=9503;xml=4415";3760;11.2;1362;1917;15.3;"0=42;5=21;10=31;20=9;30=18;60=3;90=1";1.8;"1=577;2=273;4=84;6=25;8=10;10=0;12=1";6;0;35;0;2;103;31;177;0;177;0
15/4/2016;12;5;110;2;45;3;166;418770;0;0.5;1999;1;0.143205101;0;0;4830;4830;4;4;104;0.5;171;1540;9.9;30;136;1014;22337;13959;"java=9518;xml=4441";3774;11.2;1363;1922;15.4;"0=42;5=21;10=30;20=10;30=18;60=3;90=1";1.8;"1=579;2=273;4=85;6=25;8=10;10=0;12=1";7;0;35;0;2;104;33;181;0;181;0
