date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
27/1/2017;6;5;50;2;30;3;182;133140;0;1.8;2387;1;0.53785489;0;0;1710;1710;8;3;101;1.3;126;763;14.7;26;91;350;7742;4438;"java=3738;xml=700";1384;5.5;590;689;8.9;"0=47;5=11;10=8;20=4;30=6;60=0;90=1";1.7;"1=201;2=69;4=12;6=7;8=4;10=0;12=4";12;0;27;0;6;65;81;191;0;191;0
3/2/2017;6;5;50;2;10;1;180;133170;0;1.8;2337;1;0.526469926;0;0;1697;1697;8;3;101;1.3;127;809;15.4;26;91;354;7819;4439;"java=3733;xml=706";1381;5.5;588;695;9;"0=47;5=10;10=9;20=4;30=6;60=0;90=1";1.7;"1=200;2=74;4=12;6=7;8=4;10=0;12=4";12;0;28;0;5;62;80;187;0;187;0
10/2/2017;5;5;45;2;10;1;179;132690;0;1.8;2332;1;0.527243952;0;0;1687;1687;8;3;101;1.3;127;806;15.4;26;91;353;7793;4423;"java=3717;xml=706";1372;5.5;586;693;9;"0=47;5=10;10=9;20=4;30=6;60=0;90=1";1.7;"1=200;2=73;4=12;6=7;8=4;10=0;12=4";11;0;28;0;5;61;80;185;0;185;0
17/2/2017;5;5;45;2;30;3;181;134280;0;1.8;2394;1;0.534852547;0;0;1717;1717;8;3;101;1.3;129;806;15.3;26;91;355;7848;4476;"java=3766;xml=710";1392;5.4;596;702;9.1;"0=47;5=10;10=9;20=4;30=6;60=0;90=1";1.8;"1=202;2=73;4=12;6=7;8=4;10=0;12=4";11;0;28;0;5;64;81;189;0;189;0
24/2/2017;5;5;45;2;40;4;177;138150;0;1.8;2424;1;0.526384365;0;0;1768;1768;8;3;107;1.3;139;806;14.9;26;92;370;8030;4605;"java=3895;xml=710";1436;5.3;608;732;9.4;"0=47;5=10;10=10;20=3;30=7;60=0;90=1";1.8;"1=218;2=67;4=13;6=9;8=4;10=1;12=4";11;0;28;0;5;59;83;186;0;186;0
3/3/2017;5;5;45;2;40;4;177;138210;0;1.8;2449;1;0.531582375;0;0;1772;1772;10;4;137;1.7;139;806;14.9;26;92;368;8031;4607;"java=3897;xml=710";1441;5.3;609;731;9.4;"0=48;5=9;10=10;20=3;30=7;60=0;90=1";1.8;"1=215;2=68;4=13;6=9;8=4;10=1;12=4";11;0;28;0;5;59;83;186;0;186;0
10/3/2017;7;5;60;2;30;3;203;161940;0;1.8;2855;1;0.528899592;0;0;2112;2112;18;9;264;2.9;160;857;13.7;30;100;434;9133;5398;"java=4585;xml=813";1745;5.6;763;898;10.7;"0=50;5=10;10=10;20=6;30=6;60=0;90=2";1.9;"1=252;2=86;4=18;6=10;8=4;10=2;12=6";13;0;32;0;5;74;89;213;0;213;0
17/3/2017;7;5;60;2;30;3;204;161910;0;1.8;2861;1;0.53010932;0;0;2111;2111;18;9;264;2.9;160;857;13.7;30;100;434;9132;5397;"java=4584;xml=813";1745;5.6;765;900;10.7;"0=50;5=10;10=10;20=6;30=6;60=0;90=2";1.9;"1=252;2=86;4=18;6=9;8=5;10=2;12=6";13;0;33;0;5;74;89;214;0;214;0
24/3/2017;7;5;60;2;30;3;204;162150;0;1.8;2861;1;0.529324699;0;0;2117;2117;18;9;264;2.9;160;857;13.7;30;100;434;9140;5405;"java=4592;xml=813";1749;5.6;769;902;10.7;"0=50;5=10;10=10;20=6;30=6;60=0;90=2";1.9;"1=252;2=85;4=19;6=9;8=5;10=2;12=6";13;0;33;0;5;74;89;214;0;214;0
31/3/2017;7;5;60;2;30;3;210;165720;0;1.8;2931;1;0.530593773;0;0;2177;2177;18;9;264;2.8;163;867;13.6;30;101;443;9305;5524;"java=4711;xml=813";1801;5.7;786;926;10.9;"0=50;5=10;10=10;20=7;30=6;60=0;90=2";1.9;"1=252;2=93;4=20;6=8;8=6;10=2;12=6";13;0;34;0;6;77;90;220;0;220;0
7/4/2017;7;5;60;2;30;3;212;165720;0;1.8;2961;1;0.53602462;0;0;2177;2177;18;9;264;2.8;163;867;13.6;30;101;443;9305;5524;"java=4711;xml=813";1801;5.7;786;926;10.9;"0=50;5=10;10=10;20=7;30=6;60=0;90=2";1.9;"1=252;2=93;4=20;6=8;8=6;10=2;12=6";13;0;34;0;6;77;92;222;0;222;0
14/4/2017;7;5;60;2;30;3;216;166530;0;1.7;2834;1;0.510538642;0;0;2190;2190;19;9;282;3;163;869;13.5;30;98;446;9320;5551;"java=4738;xml=813";1818;5.7;680;936;11.4;"0=50;5=8;10=10;20=6;30=6;60=0;90=2";1.9;"1=255;2=90;4=22;6=8;8=6;10=1;12=8";13;0;35;0;8;81;89;226;0;226;0
21/4/2017;8;5;65;2;30;3;215;170610;0;1.7;2876;1;0.505714788;0;0;2258;2258;19;9;284;3;166;901;13.7;30;99;453;9538;5687;"java=4868;xml=819";1871;5.8;706;963;11.6;"0=50;5=8;10=11;20=6;30=6;60=0;90=2";1.9;"1=256;2=95;4=22;6=8;8=6;10=1;12=8";13;0;36;0;4;85;88;226;0;226;0
28/4/2017;8;5;65;2;30;3;215;170610;0;1.7;2876;1;0.505714788;0;0;2258;2258;19;9;284;3;166;903;13.7;30;99;453;9540;5687;"java=4868;xml=819";1871;5.8;706;963;11.6;"0=50;5=8;10=11;20=6;30=6;60=0;90=2";1.9;"1=256;2=95;4=22;6=8;8=6;10=1;12=8";13;0;36;0;4;85;88;226;0;226;0
5/5/2017;8;5;65;2;30;3;221;173190;0;1.7;2997;1;0.519140828;0;0;2304;2304;19;9;284;2.9;168;958;14.2;30;100;461;9713;5773;"java=4954;xml=819";1906;5.8;733;982;11.7;"0=50;5=9;10=11;20=6;30=6;60=0;90=2";1.9;"1=264;2=95;4=21;6=9;8=6;10=1;12=8";13;0;41;0;4;85;89;232;0;232;0
12/5/2017;8;5;65;2;30;3;221;173370;0;1.7;2997;1;0.518601834;0;0;2304;2304;19;9;284;2.9;168;951;14.1;30;100;461;9707;5779;"java=4957;xml=822";1907;5.9;732;983;11.7;"0=50;5=9;10=11;20=6;30=6;60=0;90=2";1.9;"1=264;2=94;4=22;6=9;8=6;10=1;12=8";13;0;41;0;4;85;89;232;0;232;0
19/5/2017;8;5;65;2;30;3;221;173280;0;1.7;2997;1;0.518871191;0;0;2304;2304;19;9;284;2.9;168;951;14.1;30;100;461;9703;5776;"java=4957;xml=819";1907;5.9;732;983;11.7;"0=50;5=9;10=11;20=6;30=6;60=0;90=2";1.9;"1=264;2=94;4=22;6=9;8=6;10=1;12=8";13;0;41;0;4;85;89;232;0;232;0
26/5/2017;8;5;65;2;30;3;222;174990;0;1.7;3036;1;0.520486885;0;0;2334;2334;21;9;300;3.1;170;970;14.3;30;101;463;9812;5833;"java=5011;xml=822";1933;5.8;745;993;11.7;"0=51;5=9;10=11;20=6;30=6;60=0;90=2";1.9;"1=265;2=94;4=23;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
2/6/2017;8;5;65;2;30;3;222;174990;0;1.7;3036;1;0.520486885;0;0;2334;2334;21;9;300;3.1;170;970;14.3;30;101;463;9813;5833;"java=5011;xml=822";1933;5.8;745;993;11.7;"0=51;5=9;10=11;20=6;30=6;60=0;90=2";1.9;"1=265;2=94;4=23;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
9/6/2017;8;5;65;2;30;3;222;174990;0;1.7;3036;1;0.520486885;0;0;2334;2334;21;9;300;3.1;170;970;14.3;30;101;463;9812;5833;"java=5011;xml=822";1933;5.8;745;993;11.7;"0=51;5=9;10=11;20=6;30=6;60=0;90=2";1.9;"1=265;2=94;4=23;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
16/6/2017;8;5;65;2;30;3;222;175050;0;1.7;3036;1;0.520308483;0;0;2335;2335;21;9;300;3.1;170;973;14.3;30;101;463;9820;5835;"java=5013;xml=822";1935;5.8;745;993;11.7;"0=51;5=9;10=11;20=6;30=6;60=0;90=2";1.9;"1=265;2=94;4=23;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
23/6/2017;8;5;65;2;30;3;222;175290;0;1.7;3036;1;0.519596098;0;0;2341;2341;21;9;300;3.1;170;973;14.3;30;101;463;9828;5843;"java=5021;xml=822";1941;5.9;750;995;11.7;"0=51;5=9;10=11;20=6;30=6;60=0;90=2";1.9;"1=265;2=94;4=23;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
30/6/2017;8;5;65;2;30;3;222;175740;0;1.7;3036;1;0.51826562;0;0;2348;2348;21;9;300;3;170;977;14.3;30;101;464;9849;5858;"java=5036;xml=822";1949;5.9;757;1000;11.8;"0=51;5=8;10=12;20=6;30=6;60=0;90=2";1.9;"1=265;2=94;4=24;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
7/7/2017;8;5;65;2;30;3;222;175740;0;1.7;3036;1;0.51826562;0;0;2348;2348;21;9;300;3;170;977;14.3;30;101;464;9849;5858;"java=5036;xml=822";1949;5.9;757;1000;11.8;"0=51;5=8;10=12;20=6;30=6;60=0;90=2";1.9;"1=265;2=94;4=24;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
14/7/2017;8;5;65;2;30;3;222;175770;0;1.7;3036;1;0.518177163;0;0;2348;2348;21;9;300;3;170;977;14.3;30;101;464;9850;5859;"java=5037;xml=822";1949;5.9;757;1000;11.8;"0=51;5=8;10=12;20=6;30=6;60=0;90=2";1.9;"1=265;2=94;4=24;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
21/7/2017;8;5;65;2;30;3;222;175350;0;1.7;3036;1;0.519418306;0;0;2343;2343;21;9;300;3.1;169;977;14.3;30;101;462;9833;5845;"java=5023;xml=822";1943;5.9;756;997;11.7;"0=51;5=8;10=12;20=6;30=6;60=0;90=2";1.9;"1=264;2=93;4=24;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
28/7/2017;8;5;65;2;30;3;222;175710;0;1.7;3036;1;0.518354106;0;0;2347;2347;21;9;300;3;169;980;14.3;30;101;462;9849;5857;"java=5030;xml=827";1946;5.9;757;998;11.7;"0=51;5=8;10=12;20=6;30=6;60=0;90=2";1.9;"1=263;2=94;4=24;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
4/8/2017;8;5;65;2;30;3;222;175710;0;1.7;3036;1;0.518354106;0;0;2347;2347;21;9;300;3;169;980;14.3;30;101;462;9849;5857;"java=5030;xml=827";1946;5.9;757;998;11.7;"0=51;5=8;10=12;20=6;30=6;60=0;90=2";1.9;"1=263;2=94;4=24;6=9;8=6;10=1;12=8";13;0;41;0;4;85;90;233;0;233;0
11/8/2017;8;5;65;2;30;3;223;176010;0;1.7;3056;1;0.520879495;0;0;2354;2354;21;9;300;3;169;982;14.3;30;101;462;9861;5867;"java=5040;xml=827";1950;5.9;760;998;11.7;"0=51;5=8;10=12;20=6;30=6;60=0;90=2";1.9;"1=263;2=94;4=24;6=9;8=6;10=1;12=8";13;0;41;0;4;86;90;234;0;234;0
