date;bugs;reliability_rating;reliability_remediation_effort;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;coverage;line_coverage;lines_to_cover;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;classes;comment_lines;comment_lines_density;directories;files;functions;lines;ncloc;ncloc_language_distribution;statements;class_complexity;cognitive_complexity;complexity;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;open_issues;reopened_issues;violations;wont_fix_issues
17/3/2017;26;4;262;2;250;18;274;134730;0;1.8;2368;1;0.527276776;0;0;2496;2496;2;1;6;0.1;53;1509;25.2;9;43;455;7677;4491;"java=4350;xml=141";2024;16;929;846;20.1;"0=23;5=6;10=3;20=1;30=3;60=3;90=3";1.9;"1=232;2=81;4=18;6=15;8=5;10=3;12=10";10;0;38;0;8;138;124;318;0;318;0
24/3/2017;23;4;245;2;250;18;257;134640;0;1.7;2277;1;0.507352941;0;0;2501;2501;2;1;6;0.1;53;1587;26.1;9;43;456;7840;4488;"java=4347;xml=141";2024;16;928;846;20.1;"0=23;5=6;10=3;20=1;30=3;60=3;90=3";1.8;"1=233;2=81;4=19;6=14;8=5;10=3;12=10";10;0;36;0;8;136;108;298;0;298;0
31/3/2017;23;4;245;2;250;18;254;132870;0;1.7;2274;1;0.513434184;0;0;2506;2506;2;1;6;0.1;53;1588;26.4;9;43;456;7545;4429;"java=4347;xml=82";2030;16.1;948;852;20.3;"0=23;5=6;10=3;20=1;30=3;60=3;90=3";1.9;"1=233;2=81;4=18;6=14;8=6;10=3;12=10";8;0;36;0;8;135;108;295;0;295;0
7/4/2017;23;4;245;2;250;18;254;132870;0;1.7;2274;1;0.513434184;0;0;2506;2506;2;1;6;0.1;53;1588;26.4;9;43;456;7545;4429;"java=4347;xml=82";2030;16.1;948;852;20.3;"0=23;5=6;10=3;20=1;30=3;60=3;90=3";1.9;"1=233;2=81;4=18;6=14;8=6;10=3;12=10";8;0;36;0;8;135;108;295;0;295;0
14/4/2017;23;4;245;2;260;19;256;134670;0;1.7;2308;1;0.514145689;0;0;2550;2550;2;1;6;0.1;53;1622;26.5;9;43;460;7643;4489;"java=4407;xml=82";2059;16.4;979;868;20.7;"0=23;5=5;10=4;20=1;30=3;60=3;90=3";1.9;"1=235;2=81;4=19;6=14;8=6;10=3;12=10";8;0;36;0;8;136;110;298;0;298;0
21/4/2017;23;4;245;2;260;19;257;134610;0;1.7;2299;1;0.512369066;0;0;2548;2548;2;1;6;0.1;53;1782;28.4;9;43;460;7887;4487;"java=4405;xml=82";2057;16.4;979;868;20.7;"0=23;5=5;10=4;20=1;30=3;60=3;90=3";1.9;"1=235;2=81;4=19;6=14;8=6;10=3;12=10";8;0;36;0;8;134;113;299;0;299;0
28/4/2017;23;4;245;2;260;19;257;135360;0;1.7;2299;1;0.509530142;0;0;2563;2563;2;1;6;0.1;53;1796;28.5;9;43;464;7946;4512;"java=4430;xml=82";2069;16.5;983;874;20.8;"0=23;5=5;10=4;20=1;30=3;60=3;90=3";1.9;"1=239;2=81;4=18;6=15;8=6;10=3;12=10";8;0;36;0;8;134;113;299;0;299;0
5/5/2017;25;4;255;2;260;19;273;138090;0;1.7;2379;1;0.516836846;0;0;2618;2618;2;1;6;0.1;53;1857;28.7;9;43;472;8194;4603;"java=4521;xml=82";2117;16.9;1010;894;21.3;"0=23;5=4;10=4;20=2;30=3;60=3;90=3";1.9;"1=241;2=83;4=20;6=15;8=6;10=3;12=10";8;0;37;0;8;138;126;317;0;317;0
12/5/2017;25;4;255;2;260;19;284;138360;0;1.8;2452;1;0.531656548;0;0;2620;2620;2;1;6;0.1;54;1859;28.7;9;44;472;8210;4612;"java=4530;xml=82";2119;16.6;1017;897;20.9;"0=23;5=5;10=4;20=2;30=3;60=3;90=3";1.9;"1=241;2=83;4=20;6=15;8=6;10=3;12=10";8;0;37;0;11;141;131;328;0;328;0
19/5/2017;25;4;255;2;260;19;285;138540;0;1.8;2468;1;0.534430489;0;0;2621;2621;2;1;6;0.1;55;1863;28.7;9;45;473;8227;4618;"java=4536;xml=82";2120;16.3;1017;898;20.4;"0=24;5=5;10=4;20=2;30=3;60=3;90=3";1.9;"1=242;2=83;4=20;6=15;8=6;10=3;12=10";8;0;37;0;12;142;130;329;0;329;0
26/5/2017;24;4;240;2;265;20;279;139080;0;1.8;2450;1;0.528472821;0;0;2637;2637;2;1;6;0.1;56;1927;29.4;9;46;468;8354;4636;"java=4554;xml=82";2127;15.8;1005;885;19.7;"0=24;5=6;10=4;20=2;30=3;60=3;90=3";1.9;"1=243;2=79;4=18;6=15;8=6;10=4;12=9";8;0;37;0;12;135;131;323;0;323;0
2/6/2017;26;4;265;2;265;20;292;152460;0;1.7;2608;1;0.513183786;0;0;2895;2895;2;1;6;0.1;63;2009;28.3;9;53;509;9089;5082;"java=4992;xml=90";2352;16;1123;1006;19.3;"0=28;5=8;10=3;20=3;30=3;60=4;90=3";2;"1=268;2=88;4=22;6=18;8=5;10=4;12=12";11;0;40;0;12;147;128;338;0;338;0
9/6/2017;26;4;265;2;265;20;291;152520;0;1.7;2609;1;0.5131786;0;0;2901;2901;2;1;6;0.1;63;2011;28.3;9;53;509;10369;5084;"java=5000;xml=84";2357;16;1127;1007;19.4;"0=28;5=8;10=3;20=3;30=3;60=4;90=3";2;"1=269;2=86;4=23;6=18;8=5;10=4;12=12";11;0;40;0;12;148;126;337;0;337;0
16/6/2017;26;4;265;2;265;20;291;152640;0;1.7;2609;1;0.512775157;0;0;2905;2905;2;1;6;0.1;63;2012;28.3;9;53;509;10377;5088;"java=5004;xml=84";2360;16;1127;1007;19.4;"0=28;5=8;10=3;20=3;30=3;60=4;90=3";2;"1=269;2=86;4=23;6=18;8=5;10=4;12=12";11;0;40;0;12;148;126;337;0;337;0
23/6/2017;26;4;265;3;267;21;291;153000;0;1.7;2609;1;0.511568627;0;0;2912;2912;2;1;6;0.1;63;2013;28.3;9;53;509;10400;5100;"java=5016;xml=84";2367;16;1129;1009;19.4;"0=28;5=8;10=3;20=3;30=3;60=4;90=3";2;"1=269;2=86;4=23;6=17;8=6;10=4;12=12";11;0;40;0;12;149;126;338;0;338;0
30/6/2017;26;4;265;3;267;21;292;153150;0;1.7;2619;1;0.513026445;0;0;2914;2914;2;1;6;0.1;63;2014;28.3;9;53;509;10406;5105;"java=5021;xml=84";2369;16;1133;1011;19.4;"0=28;5=8;10=3;20=3;30=3;60=4;90=3";2;"1=269;2=85;4=24;6=17;8=6;10=4;12=12";11;0;40;0;12;150;126;339;0;339;0
7/7/2017;26;4;265;3;267;21;292;153150;0;1.7;2619;1;0.513026445;0;0;2914;2914;2;1;6;0.1;63;2014;28.3;9;53;509;10406;5105;"java=5021;xml=84";2369;16;1133;1011;19.4;"0=28;5=8;10=3;20=3;30=3;60=4;90=3";2;"1=269;2=85;4=24;6=17;8=6;10=4;12=12";11;0;40;0;12;150;126;339;0;339;0
14/7/2017;26;4;265;3;267;21;310;162300;0;1.7;2798;1;0.517190388;0;0;3091;3091;8;3;226;2.1;66;2078;27.8;10;56;541;10945;5410;"java=5326;xml=84";2534;16.4;1209;1083;19.7;"0=28;5=9;10=4;20=3;30=4;60=4;90=3";2;"1=281;2=88;4=30;6=17;8=7;10=4;12=13";11;0;42;0;12;159;133;357;0;357;0
21/7/2017;26;4;265;3;267;21;310;162300;0;1.7;2798;1;0.517190388;0;0;3091;3091;8;3;226;2.1;66;2078;27.8;10;56;541;10945;5410;"java=5326;xml=84";2534;16.4;1209;1083;19.7;"0=28;5=9;10=4;20=3;30=4;60=4;90=3";2;"1=281;2=88;4=30;6=17;8=7;10=4;12=13";11;0;42;0;12;159;133;357;0;357;0
28/7/2017;26;4;265;3;267;21;310;162300;0;1.7;2798;1;0.517190388;0;0;3091;3091;8;3;226;2.1;66;2078;27.8;10;56;541;10945;5410;"java=5326;xml=84";2534;16.4;1209;1083;19.7;"0=28;5=9;10=4;20=3;30=4;60=4;90=3";2;"1=281;2=88;4=30;6=17;8=7;10=4;12=13";11;0;42;0;12;159;133;357;0;357;0
4/8/2017;26;4;265;3;267;21;313;163680;0;1.7;2814;1;0.515762463;0;0;3122;3122;8;3;226;2;66;2094;27.7;10;56;549;11031;5456;"java=5372;xml=84";2559;16.6;1218;1098;20;"0=28;5=9;10=4;20=3;30=4;60=4;90=3";2;"1=283;2=93;4=30;6=17;8=7;10=4;12=13";11;0;42;0;12;160;135;360;0;360;0
11/8/2017;26;4;265;3;267;21;314;164100;0;1.7;2819;1;0.51535649;0;0;3126;3126;8;3;226;2;67;2102;27.8;10;57;551;11060;5470;"java=5386;xml=84";2563;16.4;1218;1100;19.6;"0=29;5=9;10=4;20=3;30=4;60=4;90=3";2;"1=285;2=93;4=30;6=17;8=7;10=4;12=13";11;0;42;0;12;160;136;361;0;361;0
